no_defs,no_words,seed_pairs,accuracy_merriam,accuracy_wordnet,accuracy_dictcom,accuracy_comb
9,15,7,0.78,0.82,0.86,0.84
9,15,8,0.78,0.82,0.86,0.84
9,20,2,0.61,0.7,0.72,0.7
9,20,3,0.67,0.75,0.78,0.76
9,20,4,0.7,0.76,0.81,0.79
9,20,5,0.77,0.82,0.89,0.87
9,20,6,0.78,0.82,0.88,0.86
9,20,7,0.78,0.82,0.88,0.86
9,20,8,0.78,0.82,0.88,0.86
9,25,2,0.61,0.7,0.72,0.7
9,25,3,0.67,0.75,0.78,0.76
9,25,4,0.7,0.76,0.81,0.79
9,25,5,0.77,0.82,0.89,0.87
9,25,6,0.78,0.82,0.88,0.86
9,25,7,0.78,0.82,0.88,0.86
9,25,8,0.78,0.82,0.88,0.86
9,30,2,0.61,0.7,0.72,0.7
9,30,3,0.67,0.75,0.77,0.76
9,30,4,0.7,0.76,0.8,0.79
9,30,5,0.77,0.82,0.88,0.87
9,30,6,0.78,0.82,0.87,0.86
9,30,7,0.78,0.82,0.87,0.86
9,30,8,0.78,0.82,0.87,0.86
9,35,2,0.61,0.7,0.72,0.7
9,35,3,0.67,0.75,0.77,0.76
9,35,4,0.7,0.76,0.8,0.79
9,35,5,0.77,0.82,0.88,0.87
9,35,6,0.78,0.82,0.87,0.86
9,35,7,0.78,0.82,0.87,0.86
9,35,8,0.78,0.82,0.87,0.86
10,5,2,0.61,0.69,0.68,0.66
10,5,3,0.66,0.74,0.75,0.73
10,5,4,0.69,0.72,0.76,0.75
10,5,5,0.76,0.76,0.81,0.81
10,5,6,0.78,0.76,0.81,0.81
10,5,7,0.78,0.75,0.81,0.81
10,5,8,0.78,0.75,0.81,0.81
10,10,2,0.61,0.72,0.71,0.69
10,10,3,0.67,0.76,0.77,0.75
10,10,4,0.7,0.77,0.8,0.78
10,10,5,0.77,0.83,0.87,0.84
10,10,6,0.78,0.81,0.86,0.84
10,10,7,0.78,0.81,0.86,0.84
10,10,8,0.78,0.81,0.86,0.84
10,15,2,0.61,0.7,0.72,0.7
10,15,3,0.67,0.75,0.77,0.76
10,15,4,0.7,0.76,0.8,0.79
10,15,5,0.77,0.82,0.87,0.85
10,15,6,0.78,0.82,0.86,0.84
10,15,7,0.78,0.82,0.86,0.84
10,15,8,0.78,0.82,0.86,0.84
10,20,2,0.61,0.7,0.72,0.7
10,20,3,0.67,0.75,0.78,0.76
10,20,4,0.7,0.76,0.81,0.79
10,20,5,0.77,0.82,0.89,0.87
10,20,6,0.78,0.82,0.88,0.86
10,20,7,0.78,0.82,0.88,0.86
10,20,8,0.78,0.82,0.88,0.86
10,25,2,0.61,0.7,0.72,0.7
10,25,3,0.67,0.75,0.78,0.76
10,25,4,0.7,0.76,0.81,0.79
10,25,5,0.77,0.82,0.89,0.87
10,25,6,0.78,0.82,0.88,0.86
10,25,7,0.78,0.82,0.88,0.86
10,25,8,0.78,0.82,0.88,0.86
10,30,2,0.61,0.7,0.72,0.7
10,30,3,0.67,0.75,0.77,0.76
10,30,4,0.7,0.76,0.8,0.79
10,30,5,0.77,0.82,0.88,0.87
10,30,6,0.78,0.82,0.87,0.86
10,30,7,0.78,0.82,0.87,0.86
10,30,8,0.78,0.82,0.87,0.86
10,35,2,0.61,0.7,0.72,0.7
10,35,3,0.67,0.75,0.77,0.76
10,35,4,0.7,0.76,0.8,0.79
10,35,5,0.77,0.82,0.88,0.87
10,35,6,0.78,0.82,0.87,0.86
10,35,7,0.78,0.82,0.87,0.86
10,35,8,0.78,0.82,0.87,0.86
